SoFAR, seed 1, 2000 shot, weight 100000.0, test_acc 87.81
SoFAR, seed 1, 2000 shot, weight 1000000.0, test_acc 87.90
SoFAR, seed 1, 2000 shot, weight 316227.7660168379, test_acc 87.95
SoFAR, seed 1, 2000 shot, weight 316227.7660168379, test_acc 87.95
SoFAR, seed 1, 2000 shot, weight 316227.7660168379, test_acc 87.95
SoFAR, seed 1, 1500 shot, weight 1000.0, test_acc 89.31
SoFAR, seed 1, 1500 shot, weight 100.0, test_acc 89.96
SoFAR, seed 1, 1500 shot, weight 100.0, test_acc 89.96
SoFAR, seed 1, 1500 shot, weight 100.0, test_acc 89.96
SoFAR, seed 1, 1500 shot, weight 100.0, test_acc 89.96
SoFAR, seed 1, 1500 shot, weight 100.0, test_acc 89.96
SoFAR, seed 1, 1500 shot, weight 100.0, test_acc 89.96
SoFAR, seed 1, 16 shot, weight 1000.0, test_acc 89.31
SoFAR, seed 1, 16 shot, weight 100.0, test_acc 89.96
SoFAR, seed 1, 16 shot, weight 100.0, test_acc 89.96
SoFAR, seed 1, 16 shot, weight 100.0, test_acc 89.96
SoFAR, seed 1, 16 shot, weight 100.0, test_acc 89.96
SoFAR, seed 1, 100 shot, weight 10.0, test_acc 91.04
SoFAR, seed 1, 100 shot, weight 10.0, test_acc 91.04
SoFAR, seed 1, 1500 shot, weight 10.0, test_acc 91.04
